zip,city,county,population
17026,Fredericksburg,Lebanon,3981
17240,Newburg,Cumberland,3981
19035,Gladwyne,Montgomery,3936
16134,Jamestown,Mercer,3927
16743,Port Allegany,Mckean,3898
18642,Duryea,Luzerne,3862
15940,Loretto,Cambria,3860
18240,Nesquehoning,Carbon,3806
18336,Matamoras,Pike,3800
18635,Nescopeck,Luzerne,3790
18344,Mount Pocono,Monroe,3780
18434,Jessup,Lackawanna,3772
18232,Lansford,Carbon,3761
17824,Elysburg,Northumberland,3758
18237,Mcadoo,Schuylkill,3725
17364,Thomasville,York,3699
17045,Liverpool,Perry,3687
18618,Harveys Lake,Luzerne,3684
17252,Saint Thomas,Franklin,3681
18249,Sugarloaf,Luzerne,3676
15531,Boswell,Somerset,3672
16038,Harrisville,Butler,3656
18660,Wapwallopen,Luzerne,3645
18092,Zionsville,Lehigh,3617
16346,Seneca,Venango,3615
16254,Shippenville,Clarion,3572
18038,Danielsville,Northampton,3562
17065,Mount Holly Springs,Cumberland,3559
19505,Bechtelsville,Berks,3546
16858,Morrisdale,Clearfield,3538
15943,Nanty Glo,Cambria,3534
15901,Johnstown,Cambria,3518
17344,Mc Sherrystown,Adams,3515
18834,New Milford,Susquehanna,3508
15473,Perryopolis,Fayette,3495
17747,Loganton,Clinton,3494
15314,Bentleyville,Washington,3478
15233,Pittsburgh,Allegheny,3466
18701,Wilkes Barre,Luzerne,3459
15846,Kersey,Elk,3455
15728,Clymer,Indiana,3447
16345,Russell,Warren,3436
17353,Orrtanna,Adams,3413
16925,Gillett,Bradford,3407
17023,Elizabethville,Dauphin,3405
16426,Mc Kean,Erie,3389
16668,Patton,Cambria,3381
16115,Darlington,Beaver,3369
17536,Kirkwood,Lancaster,3361
15557,Rockwood,Somerset,3358
19507,Bethel,Berks,3358
17049,Mc Alisterville,Juniata,3358
16371,Youngsville,Warren,3347
19555,Shoemakersville,Berks,3344
15672,New Stanton,Westmoreland,3343
16442,Wattsburg,Erie,3334
15026,Clinton,Allegheny,3324
17853,Mount Pleasant Mills,Snyder,3320
18332,Henryville,Monroe,3309
16406,Conneautville,Crawford,3294
17532,Holtwood,Lancaster,3287
16404,Centerville,Crawford,3286
16950,Westfield,Tioga,3283
15541,Friedens,Somerset,3255
17082,Port Royal,Juniata,3233
16434,Spartansburg,Crawford,3228
19383,West Chester,Chester,3222
17834,Kulpmont,Northumberland,3222
17063,Milroy,Mifflin,3221
18972,Upper Black Eddy,Bucks,3220
18051,Fogelsville,Lehigh,3217
15670,New Alexandria,Westmoreland,3215
19310,Atglen,Chester,3207
15140,Pitcairn,Allegheny,3180
16373,Emlenton,Venango,3172
17771,Trout Run,Lycoming,3168
17970,Saint Clair,Schuylkill,3167
16156,Volant,Lawrence,3148
18822,Hallstead,Susquehanna,3096
17856,New Columbia,Union,3094
18630,Meshoppen,Wyoming,3086
15935,Hollsopple,Somerset,3084
15112,East Pittsburgh,Allegheny,3073
17407,York,York,3070
16248,Rimersburg,Clarion,3059
15014,Brackenridge,Allegheny,3055
18446,Nicholson,Wyoming,3048
